Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Yakima,53077,2011,30-34,"8,156","8,781","4,366","4,415","8,042","4,001","4,041",113,57,56,326,159,167,83,40,42,36,18,17,181,90,91,"7,742","3,790","3,952","6,600","3,246","3,354",128,72,57,593,281,313,176,68,108,12,6,6,234,118,115
Yakima,53077,2011,35-39,"7,417","7,676","3,844","3,832","7,073","3,524","3,549",102,50,52,320,171,149,54,30,24,18,9,9,109,60,49,"7,227","3,573","3,654","6,201","3,059","3,142",98,65,33,536,268,267,205,101,104,11,5,6,176,74,101
Yakima,53077,2011,40-44,"7,369","6,741","3,486","3,255","6,189","3,223","2,967",95,44,51,260,130,130,48,22,26,18,8,9,130,58,72,"8,003","3,883","4,120","6,931","3,368","3,563",117,84,33,569,270,299,193,79,114,8,4,3,185,77,108
Yakima,53077,2011,45-49,"7,460","5,371","2,764","2,607","4,896","2,514","2,382",68,37,31,238,133,105,44,24,20,14,8,6,111,48,62,"9,595","4,696","4,899","8,480","4,127","4,354",119,76,43,587,296,291,194,92,102,20,12,8,194,93,102
Yakima,53077,2011,50-54,"7,562","4,266","2,269","1,997","3,908","2,069","1,839",52,26,26,181,104,77,35,16,18,10,4,6,80,50,30,"10,608","5,293","5,316","9,426","4,728","4,698",144,96,48,614,273,341,206,88,118,10,9,1,210,99,110
Yakima,53077,2011,55-59,"6,687","3,292","1,688","1,604","3,047","1,562","1,484",27,15,12,123,65,58,35,16,19,4,2,2,57,29,28,"10,615","4,999","5,616","9,658","4,542","5,116",97,64,33,487,241,246,199,76,122,5,1,4,170,75,95
Yakima,53077,2011,60-64,"6,041","2,382","1,253","1,129","2,216","1,169","1,047",26,11,15,81,38,43,21,11,10,4,3,1,34,21,13,"9,806","4,789","5,018","9,077","4,432","4,645",104,62,41,359,162,197,120,58,62,3,2,1,143,72,71
Yakima,53077,2011,65-69,"4,458","1,552",829,723,"1,438",762,676,17,14,3,61,35,25,14,8,6,1,0,1,22,11,11,"7,580","3,629","3,952","7,064","3,408","3,656",47,26,21,277,114,163,90,37,53,6,3,2,96,40,56
Yakima,53077,2011,70-74,"3,200","1,135",528,607,"1,071",497,574,6,2,4,35,22,13,7,2,4,6,0,6,10,4,6,"5,635","2,671","2,964","5,208","2,480","2,728",54,30,25,201,91,110,77,31,46,1,0,1,94,40,54
Yakima,53077,2011,75-79,"2,264",699,333,366,642,313,329,7,0,7,32,10,22,7,3,3,2,1,1,9,6,3,"4,269","1,930","2,339","4,037","1,832","2,205",30,15,15,111,46,64,49,20,29,3,2,1,39,15,24
Yakima,53077,2011,80-84,"1,692",464,221,243,432,204,228,1,1,0,19,11,9,4,2,2,1,0,1,7,3,3,"3,503","1,471","2,032","3,328","1,398","1,930",34,18,17,70,29,41,44,14,30,1,1,0,25,11,15
Yakima,53077,2011,85+,"1,459",312,133,179,298,128,170,1,0,1,3,1,2,5,1,3,0,0,0,5,3,2,"3,778","1,327","2,451","3,668","1,295","2,374",25,10,14,40,10,30,20,4,16,0,0,0,24,8,17
Yakima,53077,2011,Total,"122,245","111,956","57,536","54,420","101,757","52,314","49,443","1,520",788,732,"4,830","2,476","2,354",853,442,411,300,150,150,"2,696","1,366","1,330","132,744","64,709","68,035","115,264","56,048","59,216","1,755","1,025",730,"9,095","4,517","4,578","2,420","1,076","1,344",148,86,62,"4,062","1,957","2,105"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,53,2012,0-4,"223,260","98,814","50,570","48,244","81,718","41,815","39,903","2,900","1,514","1,386","4,203","2,187","2,017","1,375",729,646,597,309,288,"8,021","4,016","4,004","337,899","172,690","165,209","243,038","124,187","118,851","17,314","8,881","8,433","6,281","3,278","3,003","28,438","14,488","13,950","3,469","1,762","1,707","39,359","20,094","19,265"
Washington,53,2012,5-9,"222,259","89,310","45,383","43,927","74,923","38,121","36,802","2,400","1,215","1,185","3,835","1,897","1,938","1,222",608,614,488,245,243,"6,443","3,298","3,144","345,150","176,876","168,274","253,981","130,583","123,397","16,920","8,735","8,185","6,472","3,379","3,093","29,658","14,778","14,880","3,368","1,679","1,689","34,751","17,721","17,031"
Washington,53,2012,10-14,"224,050","79,927","41,091","38,836","67,267","34,654","32,613","2,138","1,124","1,014","3,457","1,714","1,743","1,136",615,522,433,210,223,"5,496","2,775","2,722","356,980","182,959","174,021","269,507","138,667","130,840","17,334","8,903","8,432","6,899","3,664","3,235","27,778","13,806","13,972","3,488","1,778","1,710","31,973","16,141","15,832"
Washington,53,2012,15-19,"230,784","71,769","37,154","34,615","60,632","31,435","29,197","2,021","1,096",924,"3,313","1,735","1,578","1,097",547,550,431,212,219,"4,275","2,128","2,147","377,854","193,630","184,224","288,862","148,248","140,615","18,188","9,508","8,679","7,235","3,731","3,504","32,128","16,312","15,816","3,666","1,877","1,789","27,774","13,953","13,821"
Washington,53,2012,20-24,"240,844","73,061","39,475","33,586","61,972","33,625","28,347","2,428","1,280","1,148","3,408","1,881","1,527","1,091",591,500,437,234,203,"3,725","1,863","1,862","394,046","201,369","192,677","306,221","156,685","149,536","19,326","10,750","8,576","7,330","3,730","3,601","35,480","17,690","17,790","4,059","2,030","2,029","21,630","10,485","11,145"
Washington,53,2012,25-29,"242,334","71,672","38,555","33,116","61,273","33,127","28,146","2,017","1,081",936,"3,236","1,741","1,495","1,080",547,533,417,240,177,"3,648","1,820","1,828","401,701","203,779","197,923","313,503","160,253","153,250","19,119","10,557","8,562","6,326","3,225","3,101","39,990","18,846","21,144","3,766","1,869","1,897","18,997","9,029","9,969"
Washington,53,2012,30-34,"239,853","71,888","37,977","33,911","61,930","32,806","29,123","2,016","1,027",989,"2,997","1,624","1,374","1,109",566,544,407,215,192,"3,428","1,740","1,688","400,720","201,876","198,844","311,750","158,293","153,457","18,653","10,259","8,394","6,270","3,115","3,155","43,630","20,228","23,402","3,514","1,768","1,746","16,903","8,213","8,690"
Washington,53,2012,35-39,"219,660","59,334","31,197","28,136","52,070","27,403","24,667","1,415",728,687,"2,435","1,329","1,106",938,487,451,268,148,120,"2,208","1,103","1,105","375,786","188,463","187,324","294,174","148,904","145,271","17,121","9,576","7,545","5,748","2,866","2,883","42,844","19,579","23,265","2,984","1,492","1,493","12,915","6,047","6,868"
Washington,53,2012,40-44,"238,294","50,575","27,045","23,530","44,381","23,850","20,531","1,240",630,610,"2,088","1,157",931,870,414,456,222,116,106,"1,773",878,895,"419,635","211,249","208,386","340,814","172,780","168,034","18,247","10,354","7,893","6,350","3,127","3,223","39,802","18,018","21,784","2,766","1,406","1,360","11,656","5,564","6,092"
Washington,53,2012,45-49,"235,173","37,040","19,724","17,316","32,369","17,302","15,067",872,443,429,"1,626",874,752,626,318,308,183,98,85,"1,364",689,675,"431,758","215,449","216,309","360,470","180,903","179,567","17,553","9,981","7,572","6,337","3,087","3,250","34,685","15,377","19,308","2,522","1,254","1,268","10,192","4,847","5,344"
Washington,53,2012,50-54,"247,001","29,970","15,882","14,089","26,145","13,960","12,185",734,385,349,"1,310",687,623,536,261,275,125,72,54,"1,121",518,603,"466,644","231,119","235,524","397,869","198,110","199,759","17,142","9,783","7,359","6,593","3,120","3,473","33,017","14,298","18,719","2,304","1,142","1,162","9,718","4,666","5,052"
Washington,53,2012,55-59,"231,698","21,804","11,214","10,589","19,117","9,865","9,253",508,268,241,918,495,423,401,190,211,75,37,38,783,359,424,"451,176","220,484","230,693","391,903","192,660","199,243","13,681","7,634","6,047","5,857","2,823","3,034","30,182","12,809","17,373","1,712",852,861,"7,841","3,706","4,135"
Washington,53,2012,60-64,"198,065","15,479","7,721","7,758","13,685","6,845","6,840",301,148,152,621,322,299,271,118,154,65,33,32,536,255,281,"392,149","190,344","201,805","346,368","169,299","177,069","9,901","5,201","4,700","4,466","2,164","2,302","24,632","10,452","14,179","1,242",629,612,"5,542","2,599","2,943"
Washington,53,2012,65-69,"148,717","10,430","5,148","5,282","9,304","4,594","4,710",170,89,82,374,202,172,182,82,100,49,18,31,350,163,187,"297,459","143,569","153,890","265,492","129,076","136,417","6,284","3,344","2,940","3,216","1,510","1,706","17,902","7,548","10,354",762,374,388,"3,803","1,718","2,086"
Washington,53,2012,70-74,"98,320","6,319","3,015","3,305","5,668","2,695","2,973",116,52,65,205,121,83,110,43,67,25,8,16,197,96,100,"199,147","95,305","103,841","177,148","85,311","91,837","4,040","2,036","2,004","2,022",956,"1,065","13,074","5,666","7,407",490,224,266,"2,373","1,112","1,261"
Washington,53,2012,75-79,"67,236","3,888","1,802","2,087","3,523","1,652","1,871",55,20,35,111,46,65,65,27,39,20,10,11,114,47,67,"143,054","65,434","77,619","128,817","59,589","69,228","2,629","1,230","1,398","1,168",513,655,"8,665","3,316","5,350",272,117,155,"1,503",669,834
Washington,53,2012,80-84,"47,882","2,553","1,113","1,440","2,330","1,010","1,321",31,15,16,80,40,41,42,20,21,6,1,5,64,27,37,"110,291","46,769","63,522","101,131","43,311","57,820","1,776",741,"1,035",625,275,350,"5,710","1,999","3,711",145,67,78,903,376,527
Washington,53,2012,85+,"42,541","1,957",764,"1,193","1,784",701,"1,083",31,11,20,52,21,31,37,6,31,9,5,4,44,19,24,"120,531","41,777","78,754","112,813","39,150","73,664","1,643",539,"1,103",508,162,346,"4,673","1,614","3,060",83,29,53,811,283,528
Washington,53,2012,Total,"3,397,971","795,789","414,830","380,959","680,091","355,459","324,632","21,392","11,124","10,268","34,271","18,074","16,197","12,189","6,167","6,022","4,257","2,210","2,047","43,589","21,795","21,794","6,021,981","2,983,141","3,038,840","4,903,861","2,436,007","2,467,854","236,870","128,013","108,857","89,704","44,725","44,979","492,289","226,823","265,466","40,613","20,350","20,263","258,644","127,222","131,422"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Adams,53001,2012,0-4,"1,088","1,710",860,850,"1,524",761,763,25,20,5,135,67,68,10,5,5,0,0,0,16,7,9,425,228,197,396,216,181,7,4,4,5,0,5,7,3,4,0,0,0,9,6,3
Adams,53001,2012,5-9,"1,044","1,534",804,731,"1,376",724,652,27,17,10,101,43,58,11,5,6,0,0,0,19,14,5,474,241,233,427,219,208,10,5,5,9,5,5,9,5,4,1,0,1,17,7,10
Adams,53001,2012,10-14,890,"1,248",611,636,"1,128",565,563,22,12,10,72,24,48,10,5,6,0,0,0,15,6,10,515,279,237,460,250,210,18,7,11,13,9,4,9,3,6,1,1,0,14,10,5
Adams,53001,2012,15-19,869,"1,194",639,555,"1,080",586,493,16,8,9,72,36,37,18,7,11,0,0,0,8,3,4,441,229,212,414,216,198,4,0,4,6,1,5,4,3,1,0,0,0,13,9,4
Adams,53001,2012,20-24,696,"1,004",539,466,870,477,392,32,18,14,88,36,52,12,5,7,0,0,0,3,2,1,296,157,139,280,149,131,0,0,0,5,2,3,3,1,2,0,0,0,8,5,3
Adams,53001,2012,25-29,556,789,414,375,694,360,335,17,13,4,57,31,26,6,5,2,0,0,0,14,6,8,286,141,145,276,136,141,1,0,1,4,3,1,2,1,1,0,0,0,3,2,2
Adams,53001,2012,30-34,679,"1,022",511,511,895,446,449,20,11,9,83,44,40,18,7,11,0,0,0,6,4,2,379,168,211,357,157,200,1,1,0,3,1,1,10,4,5,1,1,0,7,3,4
Adams,53001,2012,35-39,629,833,433,400,760,391,369,14,8,5,44,26,17,8,5,3,0,0,0,7,2,5,395,196,199,363,178,186,8,7,1,8,2,5,12,7,5,0,0,0,4,2,2
Adams,53001,2012,40-44,570,671,358,313,615,328,287,12,7,5,32,16,15,5,3,3,0,0,0,8,4,3,422,212,211,399,201,197,0,0,0,11,3,7,8,4,4,0,0,0,5,3,2
Adams,53001,2012,45-49,484,502,261,241,462,236,226,6,4,2,30,20,11,2,1,1,0,0,0,2,1,1,440,222,218,421,211,210,3,3,0,4,4,0,7,2,5,0,0,0,4,2,2
Adams,53001,2012,50-54,460,384,188,196,364,181,183,7,3,4,7,2,6,2,1,1,0,0,0,3,1,2,536,272,264,516,259,257,3,3,1,4,0,4,5,3,2,0,0,0,8,7,1
Adams,53001,2012,55-59,470,311,159,151,300,154,146,7,2,5,2,2,0,2,1,1,0,0,0,0,0,0,643,310,333,622,299,322,2,2,0,7,6,1,5,2,3,0,0,0,8,2,6
Adams,53001,2012,60-64,352,208,97,111,200,94,106,0,0,0,7,3,4,1,0,1,0,0,0,0,0,0,520,255,265,505,245,260,0,0,0,5,4,1,6,3,3,1,1,0,3,3,0
Adams,53001,2012,65-69,326,142,67,75,141,66,75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,488,259,229,476,251,225,2,2,0,4,2,1,2,2,0,0,0,0,4,2,2
Adams,53001,2012,70-74,218,104,45,59,101,45,57,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,341,173,168,330,165,164,1,1,0,5,2,2,2,1,1,0,0,0,3,3,0
Adams,53001,2012,75-79,144,42,26,16,42,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,117,138,255,117,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,53001,2012,80-84,122,49,21,28,49,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,101,91,186,100,86,0,0,0,0,0,0,5,0,5,0,0,0,1,1,0
Adams,53001,2012,85+,92,26,11,15,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,228,80,148,223,78,145,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0
Adams,53001,2012,Total,"9,686","11,773","6,045","5,728","10,625","5,471","5,154",205,123,82,732,350,382,109,49,60,0,0,0,102,52,50,"7,277","3,640","3,637","6,906","3,447","3,459",60,33,27,93,45,48,101,46,55,5,4,1,112,66,46
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asotin,53003,2012,0-4,615,95,43,51,84,38,46,0,0,0,3,2,1,1,0,1,0,0,0,7,3,4,"1,155",572,583,"1,033",513,521,4,3,1,23,12,11,6,3,3,1,1,0,88,40,48
Asotin,53003,2012,5-9,652,87,50,38,66,36,30,2,2,0,6,3,3,1,0,1,2,1,1,10,8,2,"1,252",603,650,"1,120",544,576,19,10,8,26,9,17,12,6,6,9,3,6,66,30,36
Asotin,53003,2012,10-14,614,72,43,28,56,35,21,0,0,0,5,3,2,2,1,1,0,0,0,9,5,4,"1,132",570,562,"1,059",544,516,10,5,5,18,2,16,4,3,1,1,0,1,40,17,23
Asotin,53003,2012,15-19,595,56,28,28,44,22,22,0,0,0,4,3,2,0,0,0,0,0,0,7,3,4,"1,106",567,539,"1,027",532,495,9,3,5,21,11,10,5,3,2,2,1,1,43,17,26
Asotin,53003,2012,20-24,569,63,24,39,52,20,32,1,0,1,5,2,3,0,0,0,0,0,0,5,2,2,"1,127",545,583,"1,061",512,549,5,4,1,19,7,12,6,2,4,3,3,0,33,16,17
Asotin,53003,2012,25-29,526,46,22,24,42,19,23,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,"1,106",504,602,"1,040",470,570,8,5,3,20,15,5,12,6,6,5,0,5,22,8,13
Asotin,53003,2012,30-34,612,60,32,28,52,26,26,0,0,0,2,1,1,3,2,1,0,0,0,2,2,0,"1,165",581,584,"1,096",543,554,4,1,3,16,10,6,7,3,4,2,1,1,38,23,15
Asotin,53003,2012,35-39,514,31,17,14,23,14,9,1,1,0,2,0,2,2,2,0,0,0,0,3,0,3,"1,009",497,512,971,475,495,5,4,1,12,7,5,7,0,7,2,1,1,13,9,3
Asotin,53003,2012,40-44,577,22,9,14,21,7,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1,180",569,611,"1,120",542,578,3,2,1,24,8,15,12,6,6,1,0,1,20,10,10
Asotin,53003,2012,45-49,685,31,16,15,26,13,13,0,0,0,3,2,1,0,0,0,1,1,0,1,0,1,"1,359",669,690,"1,312",649,664,3,3,0,24,9,15,7,1,6,1,1,0,11,6,5
Asotin,53003,2012,50-54,774,26,14,12,25,14,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,626",760,867,"1,570",738,832,6,3,3,17,9,8,7,3,4,1,0,1,24,6,18
Asotin,53003,2012,55-59,842,26,11,15,22,9,13,0,0,0,2,2,0,1,0,1,0,0,0,1,0,1,"1,689",830,859,"1,630",801,829,4,1,3,24,14,10,8,1,7,2,0,2,21,13,8
Asotin,53003,2012,60-64,790,25,6,19,22,6,16,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,"1,612",784,827,"1,572",767,805,5,4,1,14,7,7,8,1,7,2,1,1,11,5,6
Asotin,53003,2012,65-69,701,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,406",695,711,"1,384",687,697,1,0,1,4,1,3,6,1,4,0,0,0,11,6,5
Asotin,53003,2012,70-74,580,13,6,7,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,133",574,559,"1,113",566,548,1,1,0,7,3,3,2,0,2,2,1,1,7,2,5
Asotin,53003,2012,75-79,399,8,6,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,392,401,782,385,397,1,1,0,2,0,2,4,2,2,0,0,0,4,4,0
Asotin,53003,2012,80-84,272,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,271,321,584,268,316,1,1,0,2,0,2,1,0,1,1,1,0,2,0,2
Asotin,53003,2012,85+,235,6,3,4,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,232,346,569,229,339,2,0,2,2,0,2,1,0,1,1,0,1,3,3,0
Asotin,53003,2012,Total,"10,552",677,338,340,573,282,291,4,2,2,37,21,16,11,5,6,3,2,1,49,25,24,"21,023","10,214","10,809","20,045","9,765","10,280",92,52,40,275,126,149,116,42,74,37,14,23,458,216,242
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Benton,53005,2012,0-4,"6,603","4,612","2,335","2,277","4,217","2,140","2,077",91,47,44,81,34,47,30,13,17,15,8,7,179,93,85,"8,418","4,269","4,149","7,301","3,688","3,612",187,97,89,76,44,33,297,150,147,6,3,3,551,287,264
Benton,53005,2012,5-9,"6,852","4,097","2,084","2,013","3,744","1,921","1,823",65,34,31,63,32,31,28,10,17,21,14,7,176,72,104,"9,193","4,768","4,425","8,017","4,206","3,812",180,94,86,102,52,51,339,142,198,14,3,11,541,272,268
Benton,53005,2012,10-14,"6,965","3,874","2,039","1,836","3,508","1,842","1,666",72,39,33,91,47,44,31,15,16,14,6,8,158,89,69,"9,605","4,927","4,678","8,519","4,368","4,151",176,88,87,110,60,50,289,130,160,31,16,14,481,265,216
Benton,53005,2012,15-19,"6,563","3,427","1,753","1,674","3,169","1,614","1,555",45,27,19,75,39,36,33,17,16,8,4,4,97,51,45,"9,285","4,810","4,475","8,274","4,284","3,990",194,101,92,102,62,40,289,138,151,34,15,19,393,211,182
Benton,53005,2012,20-24,"5,855","3,371","1,735","1,636","3,116","1,613","1,503",57,31,27,78,40,38,28,11,17,9,5,4,82,35,47,"8,223","4,120","4,104","7,419","3,716","3,703",171,92,79,102,60,42,226,115,111,23,12,12,282,125,157
Benton,53005,2012,25-29,"6,108","3,013","1,591","1,422","2,825","1,501","1,324",34,14,20,54,28,26,25,12,12,7,6,1,68,29,39,"8,965","4,518","4,447","8,158","4,135","4,023",169,109,60,81,44,37,290,120,170,16,9,7,251,101,150
Benton,53005,2012,30-34,"5,996","2,809","1,427","1,382","2,610","1,319","1,291",39,17,22,59,38,21,27,17,10,5,2,3,70,34,36,"9,083","4,569","4,514","8,154","4,122","4,032",169,97,72,78,33,46,406,190,216,15,10,5,261,118,142
Benton,53005,2012,35-39,"5,445","2,367","1,217","1,150","2,210","1,150","1,060",28,5,23,56,28,28,17,8,8,4,2,2,52,24,28,"8,397","4,228","4,169","7,542","3,802","3,739",181,109,72,84,39,45,417,198,219,12,6,5,161,73,88
Benton,53005,2012,40-44,"5,692","2,053","1,030","1,024","1,926",965,961,18,8,10,43,26,17,25,9,16,4,2,2,37,19,18,"9,402","4,663","4,739","8,537","4,211","4,326",140,83,57,104,59,45,406,208,197,18,9,9,197,92,106
Benton,53005,2012,45-49,"5,890","1,477",738,739,"1,379",685,694,13,4,9,33,18,15,9,4,5,4,3,1,39,25,14,"10,382","5,152","5,230","9,611","4,774","4,837",145,89,56,105,52,53,378,172,206,10,4,6,134,61,72
Benton,53005,2012,50-54,"6,295","1,291",687,605,"1,203",642,560,11,7,4,38,18,20,8,3,5,2,2,0,30,15,15,"11,443","5,608","5,834","10,681","5,249","5,432",111,70,41,104,42,62,367,155,212,16,7,9,164,85,78
Benton,53005,2012,55-59,"6,167",932,469,463,866,428,438,9,3,5,31,18,13,10,9,1,1,1,0,15,9,6,"11,438","5,699","5,739","10,783","5,383","5,399",105,59,46,93,53,40,305,127,178,12,5,6,140,71,69
Benton,53005,2012,60-64,"5,264",618,303,315,590,292,298,3,3,0,15,5,11,4,1,3,0,0,0,6,2,4,"9,824","4,961","4,863","9,199","4,677","4,522",101,50,51,79,44,35,324,136,188,10,7,3,111,47,63
Benton,53005,2012,65-69,"3,766",422,211,211,400,197,203,5,2,2,10,6,4,2,2,0,1,0,1,5,4,1,"7,189","3,555","3,634","6,800","3,354","3,446",47,30,17,42,21,21,218,114,104,8,5,3,74,31,43
Benton,53005,2012,70-74,"2,557",245,120,125,229,111,118,2,1,1,4,2,1,2,0,2,3,2,1,4,3,1,"5,021","2,438","2,583","4,752","2,302","2,451",30,19,11,28,11,17,147,77,70,5,1,4,59,28,31
Benton,53005,2012,75-79,"1,704",165,64,100,157,61,96,2,0,2,1,1,0,0,0,0,2,1,1,2,1,1,"3,560","1,639","1,920","3,412","1,574","1,837",18,8,10,16,7,9,82,36,46,1,1,0,32,14,18
Benton,53005,2012,80-84,"1,201",110,59,51,100,53,47,0,0,0,6,5,1,2,0,2,0,0,0,2,1,1,"2,750","1,141","1,608","2,684","1,114","1,571",8,2,5,4,3,1,44,16,28,0,0,0,9,7,2
Benton,53005,2012,85+,"1,040",72,39,33,68,38,30,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,"2,867","1,001","1,866","2,801",977,"1,824",9,4,5,10,5,5,32,8,24,0,0,0,15,7,8
Benton,53005,2012,Total,"89,964","34,955","17,899","17,056","32,315","16,573","15,742",494,241,253,740,386,354,282,134,148,102,59,43,"1,022",507,515,"145,045","72,065","72,980","132,643","65,935","66,708","2,142","1,201",941,"1,321",690,631,"4,855","2,230","2,625",230,114,116,"3,854","1,895","1,959"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Chelan,53007,2012,0-4,"2,518","2,409","1,239","1,170","2,228","1,140","1,087",17,4,12,88,46,41,11,5,6,7,4,3,59,39,20,"2,450","1,279","1,171","2,245","1,169","1,077",14,7,7,19,10,9,35,17,18,9,4,5,128,72,56
Chelan,53007,2012,5-9,"2,547","2,239","1,191","1,048","2,082","1,099",983,16,11,5,81,45,36,8,6,2,2,1,1,49,28,21,"2,660","1,356","1,304","2,430","1,230","1,200",17,8,9,30,16,14,50,22,27,5,2,3,129,78,51
Chelan,53007,2012,10-14,"2,556","2,085","1,083","1,001","1,939","1,004",934,14,9,6,84,43,42,8,4,4,6,6,0,33,17,16,"2,952","1,473","1,479","2,726","1,363","1,364",19,9,10,30,19,11,39,11,28,5,3,2,133,68,64
Chelan,53007,2012,15-19,"2,450","1,920",953,967,"1,783",882,901,18,10,8,67,36,30,9,6,2,6,3,3,38,15,23,"2,897","1,498","1,400","2,687","1,383","1,305",16,11,5,36,18,17,40,21,18,8,5,3,111,60,51
Chelan,53007,2012,20-24,"2,300","1,853",985,868,"1,726",922,804,19,7,13,58,33,26,11,6,4,8,5,3,31,12,19,"2,526","1,316","1,210","2,342","1,212","1,130",10,9,1,39,19,20,46,26,20,5,4,1,84,46,37
Chelan,53007,2012,25-29,"2,151","1,672",900,772,"1,562",848,714,12,6,6,59,28,31,6,1,5,4,2,2,29,15,14,"2,480","1,251","1,229","2,328","1,173","1,155",11,6,5,39,22,17,35,18,17,2,2,0,64,30,35
Chelan,53007,2012,30-34,"2,217","1,713",902,811,"1,599",840,760,20,13,7,66,34,32,5,3,2,2,1,1,20,11,9,"2,659","1,315","1,344","2,515","1,256","1,259",16,8,9,25,9,16,43,15,28,4,1,3,56,27,29
Chelan,53007,2012,35-39,"1,998","1,348",682,666,"1,263",639,624,10,4,5,48,23,24,7,4,3,1,1,0,19,10,9,"2,692","1,316","1,376","2,510","1,234","1,277",19,12,7,37,13,25,54,23,31,9,6,3,62,27,34
Chelan,53007,2012,40-44,"2,124","1,280",638,643,"1,193",598,595,12,5,7,34,17,18,7,2,5,4,1,3,30,15,15,"3,018","1,486","1,532","2,875","1,425","1,450",4,2,2,35,18,17,45,19,26,9,4,5,50,18,32
Chelan,53007,2012,45-49,"2,312",985,557,428,912,517,395,12,9,3,34,18,15,6,5,1,10,4,6,11,4,7,"3,673","1,755","1,918","3,485","1,671","1,814",20,16,4,50,26,24,40,12,27,12,6,7,67,24,43
Chelan,53007,2012,50-54,"2,669",797,448,349,748,417,331,7,4,3,14,7,6,6,2,4,4,3,1,19,15,4,"4,654","2,220","2,434","4,496","2,154","2,342",10,10,0,45,15,30,50,13,37,7,5,2,46,23,23
Chelan,53007,2012,55-59,"2,689",509,301,208,469,281,188,6,2,4,17,12,5,1,0,1,1,0,1,14,5,9,"4,908","2,389","2,519","4,733","2,306","2,427",14,10,4,51,22,28,35,17,18,7,2,4,68,31,36
Chelan,53007,2012,60-64,"2,395",303,171,132,289,169,121,1,1,0,10,1,9,0,0,0,0,0,0,2,0,2,"4,493","2,223","2,270","4,383","2,177","2,205",5,4,1,31,19,12,29,9,20,5,3,1,42,12,30
Chelan,53007,2012,65-69,"1,840",240,120,119,222,109,113,1,1,0,13,8,5,1,1,0,0,0,0,3,1,1,"3,493","1,720","1,773","3,420","1,682","1,737",2,2,0,21,13,8,24,12,12,1,1,0,25,9,16
Chelan,53007,2012,70-74,"1,349",121,64,57,112,60,52,1,0,1,6,3,2,1,0,1,0,0,0,1,1,0,"2,615","1,284","1,330","2,566","1,260","1,307",1,0,1,15,9,6,12,5,7,1,0,1,19,10,8
