Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Washington,53,2010,75-79,"64,325","3,546","1,628","1,918","3,217","1,495","1,722",52,19,33,99,41,58,62,25,37,19,9,10,97,39,58,"138,522","62,697","75,825","125,073","57,228","67,845","2,504","1,170","1,334","1,107",481,626,"8,266","3,125","5,141",243,107,136,"1,329",586,743
Washington,53,2010,80-84,"45,743","2,343",992,"1,351","2,141",903,"1,238",30,14,16,72,33,39,41,19,22,5,1,4,54,22,32,"108,775","44,751","64,024","99,944","41,543","58,401","1,724",696,"1,028",600,257,343,"5,562","1,869","3,693",131,56,75,814,330,484
Washington,53,2010,85+,"40,083","1,734",664,"1,070","1,585",612,973,28,10,18,45,18,27,33,5,28,8,4,4,35,15,20,"115,537","39,419","76,118","108,332","36,979","71,353","1,533",502,"1,031",477,148,329,"4,422","1,527","2,895",72,26,46,701,237,464
Washington,53,2010,Total,"3,349,707","755,790","394,244","361,546","646,474","338,034","308,440","20,861","10,828","10,033","33,500","17,693","15,807","11,933","6,043","5,890","4,184","2,176","2,008","38,838","19,470","19,368","5,968,750","2,955,463","3,013,287","4,888,788","2,427,028","2,461,760","231,472","124,970","106,502","89,149","44,495","44,654","479,752","221,023","258,729","39,321","19,735","19,586","240,268","118,212","122,056"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Adams,53001,2010,0-4,"1,071","1,586",833,753,"1,418",739,679,20,16,4,127,68,59,8,4,4,0,0,0,13,6,7,429,238,191,403,226,177,6,3,3,4,0,4,7,3,4,0,0,0,9,6,3
Adams,53001,2010,5-9,924,"1,352",697,655,"1,220",632,588,19,11,8,87,38,49,9,4,5,0,0,0,17,12,5,459,227,232,418,209,209,8,4,4,8,4,4,8,4,4,1,0,1,16,6,10
Adams,53001,2010,10-14,831,"1,135",556,579,"1,034",516,518,16,9,7,63,22,41,7,3,4,1,1,0,14,5,9,512,275,237,463,249,214,14,5,9,10,7,3,9,3,6,1,1,0,15,10,5
Adams,53001,2010,15-19,907,"1,171",649,522,"1,065",598,467,13,6,7,71,36,35,15,6,9,0,0,0,7,3,4,478,258,220,451,244,207,3,0,3,5,1,4,4,3,1,0,0,0,15,10,5
Adams,53001,2010,20-24,664,952,506,446,835,453,382,24,13,11,79,33,46,11,5,6,0,0,0,3,2,1,309,158,151,293,150,143,0,0,0,5,2,3,3,1,2,0,0,0,8,5,3
Adams,53001,2010,25-29,612,888,446,442,792,394,398,15,11,4,60,30,30,6,4,2,0,0,0,15,7,8,354,166,188,343,160,183,1,0,1,4,3,1,2,1,1,0,0,0,4,2,2
Adams,53001,2010,30-34,627,892,462,430,788,406,382,15,9,6,71,39,32,13,5,8,0,0,0,5,3,2,364,165,199,344,155,189,1,1,0,2,1,1,9,4,5,1,1,0,7,3,4
Adams,53001,2010,35-39,587,749,391,358,687,355,332,10,6,4,39,24,15,7,4,3,0,0,0,6,2,4,395,196,199,367,180,187,6,5,1,6,2,4,12,7,5,0,0,0,4,2,2
Adams,53001,2010,40-44,553,620,334,286,571,306,265,10,6,4,28,16,12,4,2,2,0,0,0,7,4,3,435,219,216,413,209,204,0,0,0,9,3,6,8,4,4,0,0,0,5,3,2
Adams,53001,2010,45-49,520,527,268,259,489,244,245,6,4,2,26,17,9,3,1,2,1,1,0,2,1,1,510,252,258,491,241,250,2,2,0,4,4,0,8,2,6,0,0,0,5,3,2
Adams,53001,2010,50-54,488,397,191,206,378,183,195,7,4,3,7,2,5,2,1,1,0,0,0,3,1,2,606,297,309,586,285,301,3,2,1,4,0,4,5,3,2,0,0,0,8,7,1
Adams,53001,2010,55-59,489,292,156,136,282,150,132,5,2,3,3,3,0,2,1,1,0,0,0,0,0,0,665,333,332,645,323,322,1,1,0,6,5,1,5,2,3,0,0,0,8,2,6
Adams,53001,2010,60-64,345,196,88,108,189,86,103,0,0,0,5,2,3,1,0,1,1,0,1,0,0,0,540,257,283,526,247,279,0,0,0,4,3,1,6,3,3,1,1,0,3,3,0
Adams,53001,2010,65-69,328,122,61,61,121,60,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,477,267,210,467,260,207,1,1,0,3,2,1,2,2,0,0,0,0,4,2,2
Adams,53001,2010,70-74,220,98,42,56,96,42,54,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,351,178,173,341,171,170,1,1,0,4,2,2,2,1,1,0,0,0,3,3,0
Adams,53001,2010,75-79,157,44,27,17,44,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,130,162,292,130,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,53001,2010,80-84,132,52,22,30,52,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,110,105,209,109,100,0,0,0,0,0,0,5,0,5,0,0,0,1,1,0
Adams,53001,2010,85+,89,26,11,15,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,238,78,160,233,76,157,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0
Adams,53001,2010,Total,"9,544","11,099","5,740","5,359","10,086","5,223","4,863",160,97,63,667,330,337,90,41,49,3,2,1,93,47,46,"7,629","3,804","3,825","7,285","3,624","3,661",47,25,22,79,39,40,99,45,54,4,3,1,115,68,47
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asotin,53003,2010,0-4,627,89,41,48,79,36,43,0,0,0,3,2,1,1,0,1,0,0,0,6,3,3,"1,172",586,586,"1,058",530,528,4,3,1,23,12,11,6,3,3,1,1,0,80,37,43
Asotin,53003,2010,5-9,660,82,47,35,62,34,28,2,2,0,6,3,3,1,0,1,2,1,1,9,7,2,"1,253",613,640,"1,130",558,572,18,10,8,25,9,16,12,6,6,9,3,6,59,27,32
Asotin,53003,2010,10-14,666,71,44,27,55,35,20,0,0,0,5,3,2,2,1,1,0,0,0,9,5,4,"1,202",622,580,"1,131",595,536,10,5,5,18,2,16,4,3,1,1,0,1,38,17,21
Asotin,53003,2010,15-19,713,61,31,30,48,24,24,0,0,0,5,3,2,0,0,0,0,0,0,8,4,4,"1,334",682,652,"1,245",643,602,10,4,6,25,13,12,6,3,3,2,1,1,46,18,28
Asotin,53003,2010,20-24,580,58,23,35,48,19,29,1,0,1,5,2,3,0,0,0,0,0,0,4,2,2,"1,130",557,573,"1,068",526,542,5,4,1,18,7,11,6,2,4,3,3,0,30,15,15
Asotin,53003,2010,25-29,571,46,22,24,42,19,23,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,"1,199",549,650,"1,132",514,618,8,5,3,21,16,5,12,6,6,5,0,5,21,8,13
Asotin,53003,2010,30-34,585,53,28,25,46,23,23,0,0,0,2,1,1,3,2,1,0,0,0,2,2,0,"1,115",557,558,"1,054",523,531,4,1,3,15,9,6,7,3,4,2,1,1,33,20,13
Asotin,53003,2010,35-39,536,31,17,14,23,14,9,1,1,0,2,0,2,2,2,0,0,0,0,3,0,3,"1,065",519,546,"1,027",498,529,5,4,1,12,7,5,7,0,7,2,1,1,12,9,3
Asotin,53003,2010,40-44,576,21,8,13,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1,193",568,625,"1,136",543,593,3,2,1,23,8,15,12,6,6,1,0,1,18,9,9
Asotin,53003,2010,45-49,744,32,16,16,27,13,14,0,0,0,3,2,1,0,0,0,1,1,0,1,0,1,"1,504",728,776,"1,455",707,748,3,3,0,26,10,16,8,1,7,1,1,0,11,6,5
Asotin,53003,2010,50-54,775,24,13,11,23,13,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,626",762,864,"1,574",742,832,6,3,3,17,9,8,7,3,4,1,0,1,21,5,16
Asotin,53003,2010,55-59,794,23,10,13,19,8,11,0,0,0,2,2,0,1,0,1,0,0,0,1,0,1,"1,590",784,806,"1,537",758,779,4,1,3,22,13,9,7,1,6,2,0,2,18,11,7
Asotin,53003,2010,60-64,708,21,5,16,19,5,14,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,"1,456",703,753,"1,422",688,734,4,3,1,12,6,6,7,1,6,2,1,1,9,4,5
Asotin,53003,2010,65-69,614,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,262",609,653,"1,243",602,641,1,0,1,4,1,3,5,1,4,0,0,0,9,5,4
Asotin,53003,2010,70-74,524,11,5,6,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,032",519,513,"1,015",512,503,1,1,0,6,3,3,2,0,2,2,1,1,6,2,4
Asotin,53003,2010,75-79,360,7,5,2,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,355,414,759,349,410,1,1,0,2,0,2,4,2,2,0,0,0,3,3,0
Asotin,53003,2010,80-84,238,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,237,330,560,235,325,1,1,0,2,0,2,1,0,1,1,1,0,2,0,2
Asotin,53003,2010,85+,182,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,180,331,503,178,325,2,0,2,2,0,2,1,0,1,1,0,1,2,2,0
Asotin,53003,2010,Total,"10,453",643,323,320,542,268,274,5,3,2,37,21,16,11,5,6,3,2,1,45,24,21,"20,980","10,130","10,850","20,049","9,701","10,348",90,51,39,273,125,148,114,41,73,36,14,22,418,198,220
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Benton,53005,2010,0-4,"6,706","4,451","2,285","2,166","4,069","2,097","1,972",91,47,44,80,33,47,30,13,17,15,8,7,166,87,79,"8,620","4,421","4,199","7,531","3,846","3,685",185,97,88,79,46,33,296,154,142,6,3,3,523,275,248
Benton,53005,2010,5-9,"6,743","3,883","1,975","1,908","3,556","1,823","1,733",62,32,30,61,31,30,27,10,17,21,14,7,156,65,91,"9,198","4,768","4,430","8,080","4,236","3,844",178,92,86,104,52,52,330,140,190,14,3,11,492,245,247
Benton,53005,2010,10-14,"6,880","3,662","1,921","1,741","3,330","1,747","1,583",60,33,27,91,48,43,31,15,16,14,6,8,136,72,64,"9,688","4,959","4,729","8,649","4,430","4,219",172,87,85,102,50,52,284,128,156,30,16,14,451,248,203
Benton,53005,2010,15-19,"6,642","3,300","1,685","1,615","3,044","1,547","1,497",46,27,19,75,40,35,34,17,17,8,4,4,93,50,43,"9,614","4,957","4,657","8,625","4,440","4,185",191,101,90,105,64,41,289,140,149,34,15,19,370,197,173
Benton,53005,2010,20-24,"5,533","3,029","1,559","1,470","2,799","1,447","1,352",53,29,24,70,37,33,27,11,16,8,4,4,72,31,41,"7,926","3,974","3,952","7,183","3,597","3,586",158,86,72,97,57,40,213,110,103,22,11,11,253,113,140
